gender,player_age,initial_selection_n,initial_selection_Q1,initial_selection_Q2,initial_selection_Q3,initial_selection_Q4,participation_n,participation_Q1,participation_Q2,participation_Q3,participation_Q4,re_selection_n,re_selection_Q1,re_selection_Q2,re_selection_Q3,re_selection_Q4,de_selection_n,de_selection_Q1,de_selection_Q2,de_selection_Q3,de_selection_Q4
Men (n = 5559),15,397,50.12594458438288,26.952141057934508,16.120906801007557,6.801007556675064,397,50.12594458438288,26.952141057934508,16.120906801007557,6.801007556675064,373,93.46733668341709,96.26168224299066,93.75,88.88888888888889,24,6.532663316582915,3.7383177570093453,6.25,11.11111111111111
Men (n = 5559),16,3075,40,28.747967479674795,20.650406504065042,10.601626016260163,3448,41.067285382830626,28.625290023201856,20.15661252900232,10.150812064965198,2165,59.887005649717516,64.23505572441742,64.02877697841727,68,1283,40.11299435028249,35.76494427558257,35.97122302158273,32
Men (n = 5559),17,202,27.722772277227726,30.198019801980198,22.277227722772277,19.801980198019802,2367,38.19180397127165,29.362061681453316,20.701309674693704,11.744824672581327,2225,93.36283185840708,95.10791366906474,95.51020408163265,90.64748201438849,142,6.637168141592921,4.892086330935252,4.489795918367347,9.352517985611511
Men (n = 5559),18,1093,27.813357731015554,28.545288197621225,24.97712717291857,18.664226898444646,3318,34.59915611814346,29.324894514767934,22.33273056057866,13.743218806509946,2218,65.94076655052264,66.08427543679343,68.0161943319838,68.85964912280701,1100,34.05923344947735,33.91572456320658,31.983805668016196,31.140350877192986
Men (n = 5559),19,271,25.830258302583026,21.40221402214022,24.723247232472325,28.044280442804425,2489,33.22619525914022,28.16392125351547,22.940940136601046,15.66894335074327,1943,76.17896009673518,78.74465049928673,78.28371278458845,80.51282051282051,546,23.82103990326481,21.255349500713265,21.71628721541156,19.48717948717949
Men (n = 5559),20,521,21.8809980806142,27.2552783109405,28.406909788867562,22.456813819577732,2464,30.1948051948052,28.165584415584416,24.147727272727273,17.491883116883116,,,,,,2464,100,100,100,100
Women (n = 3486),15,714,38.095238095238095,30.252100840336134,20.30812324929972,11.344537815126051,714,38.095238095238095,30.252100840336134,20.30812324929972,11.344537815126051,663,92.27941176470588,91.66666666666666,95.86206896551724,92.5925925925926,51,7.720588235294118,8.333333333333332,4.137931034482759,7.4074074074074066
Women (n = 3486),16,1795,32.47910863509749,27.075208913649025,22.172701949860723,18.27298050139276,2458,33.9300244100895,27.827502034174124,21.847030105777055,16.395443449959316,1815,73.621103117506,71.49122807017544,75.79143389199255,75.68238213399503,643,26.378896882494008,28.50877192982456,24.20856610800745,24.317617866004962
Women (n = 3486),17,250,27.200000000000003,27.200000000000003,25.6,20,2065,33.02663438256659,26.973365617433416,22.80871670702179,17.191283292978206,1848,89.29618768328446,89.76660682226212,87.89808917197452,91.54929577464789,217,10.703812316715542,10.23339317773788,12.101910828025478,8.450704225352112
Women (n = 3486),18,426,26.056338028169012,26.995305164319248,22.065727699530516,24.88262910798122,2274,31.6622691292876,27.044854881266488,22.33948988566403,18.953386103781884,1694,75.27777777777777,71.70731707317073,77.36220472440945,73.78190255220419,580,24.72222222222222,28.292682926829265,22.63779527559055,26.218097447795824
Women (n = 3486),19,139,19.424460431654676,29.496402877697843,23.021582733812952,28.05755395683453,1833,31.042007637752317,26.29569012547736,23.186033824331698,19.476268412438625,1430,78.03163444639719,75.72614107883817,79.05882352941175,79.83193277310924,403,21.968365553602812,24.273858921161825,20.941176470588236,20.168067226890756
Women (n = 3486),20,162,21.604938271604937,29.01234567901235,27.77777777777778,21.604938271604937,1592,30.087939698492463,25.879396984924625,23.9321608040201,20.100502512562816,,,,,,1592,100,100,100,100
